ID,TR,UT,data,raingauges_id,update_ref,invalid,hours_surrounding_total
267,17/12/04 10:55,1512326700,0.2,38,1512326700-38,0,1.4
268,17/12/04 10:55,1512327300,0.4,38,1512327300-38,0,1.4
269,17/12/04 10:55,1512327600,0.4,38,1512327600-38,0,1.4
270,17/12/04 10:55,1512327900,0.4,38,1512327900-38,0,1.4
271,17/12/04 10:55,1512329700,0.2,38,1512329700-38,0,0.2
272,17/12/04 10:55,1512338400,0,38,1512338400-38,0,0
273,17/12/04 10:55,1512252000,0,41,1512252000-41,0,0
274,17/12/04 10:55,1512324600,0.2,41,1512324600-41,0,0.8
275,17/12/04 10:55,1512324900,0.2,41,1512324900-41,0,0.8
276,17/12/04 10:55,1512325200,0.4,41,1512325200-41,0,0.8
277,17/12/04 10:55,1512338400,0,41,1512338400-41,0,0
278,17/12/04 10:55,1512360900,0.2,41,1512360900-41,0,0.2
279,17/12/04 10:55,1512226200,0.2,42,1512226200-42,0,1.8
280,17/12/04 10:55,1512226500,0.2,42,1512226500-42,0,1.8
281,17/12/04 10:55,1512226800,0.6,42,1512226800-42,0,1.8
282,17/12/04 10:55,1512227100,0.6,42,1512227100-42,0,2
283,17/12/04 10:55,1512227400,0.2,42,1512227400-42,0,2
284,17/12/04 10:55,1512228600,0.2,42,1512228600-42,0,1.2
285,17/12/04 10:55,1512229800,0.2,42,1512229800-42,0,0.4
286,17/12/04 10:55,1512252000,0,42,1512252000-42,0,0
287,17/12/04 10:55,1512325800,0.2,42,1512325800-42,0,0.2
288,17/12/04 10:55,1512338400,0,42,1512338400-42,0,0
289,17/12/04 10:55,1512252000,0,44,1512252000-44,0,0
290,17/12/04 10:55,1512327000,0.2,44,1512327000-44,0,0.6
291,17/12/04 10:55,1512327900,0.2,44,1512327900-44,0,0.8
292,17/12/04 10:55,1512328500,0.2,44,1512328500-44,0,0.8
293,17/12/04 10:55,1512328800,0.2,44,1512328800-44,0,0.6
294,17/12/04 10:55,1512338400,0,44,1512338400-44,0,0
306,17/12/04 12:33,1512378900,0.2,31,1512378900-31,0,0
334,17/12/04 16:33,1512394500,0.8,1,1512394500-1,0,0
335,17/12/04 16:33,1512396600,0.2,5,1512396600-5,0,0
336,17/12/04 16:33,1512397500,0.2,5,1512397500-5,0,0
338,17/12/04 16:33,1512393600,0.2,8,1512393600-8,0,0
339,17/12/04 16:33,1512396300,0.2,9,1512396300-9,0,0
340,17/12/04 16:33,1512396600,0.2,9,1512396600-9,0,0
341,17/12/04 16:33,1512396900,0.2,9,1512396900-9,0,0
349,17/12/04 17:33,1512397500,0.2,1,1512397500-1,0,0
350,17/12/04 17:33,1512398400,0.2,1,1512398400-1,0,0
352,17/12/04 17:33,1512396900,0.4,4,1512396900-4,0,0
353,17/12/04 17:33,1512397200,0.2,4,1512397200-4,0,0
361,17/12/04 17:33,1512397800,0.2,10,1512397800-10,0,0
362,17/12/04 17:33,1512399900,0.2,10,1512399900-10,0,0
363,17/12/04 17:33,1512397800,0.2,13,1512397800-13,0,0
364,17/12/04 17:33,1512399300,0.4,14,1512399300-14,0,0
365,17/12/04 17:33,1512399600,0.2,14,1512399600-14,0,0
366,17/12/04 17:33,1512397200,0.2,16,1512397200-16,0,0
367,17/12/04 17:33,1512397500,0.2,16,1512397500-16,0,0
368,17/12/04 17:33,1512397200,0.4,17,1512397200-17,0,0
369,17/12/04 17:33,1512399300,0.2,17,1512399300-17,0,0
370,17/12/04 17:33,1512398400,0.2,18,1512398400-18,0,0
371,17/12/04 17:33,1512398700,0.2,18,1512398700-18,0,0
372,17/12/04 17:33,1512399600,0.2,18,1512399600-18,0,0
373,17/12/04 17:33,1512396600,0.2,19,1512396600-19,0,0
374,17/12/04 17:33,1512399600,0.2,19,1512399600-19,0,0
375,17/12/04 17:33,1512399900,0.2,19,1512399900-19,0,0
376,17/12/04 17:33,1512400200,0.2,19,1512400200-19,0,0
377,17/12/04 17:33,1512399600,0.2,20,1512399600-20,0,0
384,17/12/04 17:33,1512399900,0.2,32,1512399900-32,0,0
385,17/12/04 17:33,1512400200,0.6,32,1512400200-32,0,0
386,17/12/04 17:33,1512400500,0.2,32,1512400500-32,0,0
387,17/12/04 17:33,1512400800,0.2,32,1512400800-32,0,0
388,17/12/04 17:33,1512399900,0.2,34,1512399900-34,0,0
389,17/12/04 17:33,1512400800,0.2,34,1512400800-34,0,0
390,17/12/04 17:33,1512401100,0.2,34,1512401100-34,0,0
395,17/12/04 18:33,1512400800,0.4,2,1512400800-2,0,0
396,17/12/04 18:33,1512401100,0.4,2,1512401100-2,0,0
397,17/12/04 18:33,1512401400,0.2,2,1512401400-2,0,0
398,17/12/04 18:33,1512401700,0.2,2,1512401700-2,0,0
399,17/12/04 18:33,1512402900,0.2,2,1512402900-2,0,0
400,17/12/04 18:33,1512403800,0.2,2,1512403800-2,0,0
401,17/12/04 18:33,1512404100,0.2,2,1512404100-2,0,0
402,17/12/04 18:33,1512402000,0.2,3,1512402000-3,0,0
403,17/12/04 18:33,1512402300,0.2,3,1512402300-3,0,0
404,17/12/04 18:33,1512402900,0.4,3,1512402900-3,0,0
405,17/12/04 18:33,1512403200,0.2,3,1512403200-3,0,0
411,17/12/04 18:33,1512401400,0.4,7,1512401400-7,0,0
412,17/12/04 18:33,1512401100,0.4,8,1512401100-8,0,0
413,17/12/04 18:33,1512401400,0.4,8,1512401400-8,0,0
414,17/12/04 18:33,1512401700,0.2,8,1512401700-8,0,0
415,17/12/04 18:33,1512402000,0.2,8,1512402000-8,0,0
416,17/12/04 18:33,1512402300,0.2,8,1512402300-8,0,0
417,17/12/04 18:33,1512402900,0.2,8,1512402900-8,0,0
418,17/12/04 18:33,1512404100,0.2,8,1512404100-8,0,0
425,17/12/04 18:33,1512401400,0.2,11,1512401400-11,0,0
427,17/12/04 18:33,1512401400,0.2,14,1512401400-14,0,0
430,17/12/04 18:33,1512399900,0.2,16,1512399900-16,0,0
431,17/12/04 18:33,1512402000,0.2,16,1512402000-16,0,0
434,17/12/04 18:33,1512401700,0.2,17,1512401700-17,0,0
446,17/12/04 18:33,1512402300,0.2,22,1512402300-22,0,0
447,17/12/04 18:33,1512402600,0.4,22,1512402600-22,0,0
448,17/12/04 18:33,1512399000,0.2,24,1512399000-24,0,0
449,17/12/04 18:33,1512401700,0.2,24,1512401700-24,0,0
450,17/12/04 18:33,1512403800,0.2,26,1512403800-26,0,0
453,17/12/04 18:33,1512404700,0.2,29,1512404700-29,0,0
454,17/12/04 18:33,1512402000,0.2,30,1512402000-30,0,0
455,17/12/04 18:33,1512402600,0.2,30,1512402600-30,0,0
456,17/12/04 18:33,1512402900,0.2,30,1512402900-30,0,0
464,17/12/04 18:33,1512401400,0.2,34,1512401400-34,0,0
465,17/12/04 18:33,1512401700,0.2,34,1512401700-34,0,0
466,17/12/04 18:33,1512404100,0.2,34,1512404100-34,0,0
467,17/12/04 18:33,1512405300,0.2,34,1512405300-34,0,0
471,17/12/04 18:33,1512401700,0.2,35,1512401700-35,0,0
472,17/12/04 18:33,1512402600,0.2,35,1512402600-35,0,0
473,17/12/04 18:33,1512400500,0.2,36,1512400500-36,0,0
474,17/12/04 18:33,1512402000,0.2,36,1512402000-36,0,0
475,17/12/04 18:33,1512402900,0.2,36,1512402900-36,0,0
476,17/12/04 18:33,1512402600,0.2,41,1512402600-41,0,0
477,17/12/04 18:33,1512403200,0.2,41,1512403200-41,0,0
478,17/12/04 18:33,1512403800,0.2,41,1512403800-41,0,0
480,17/12/04 18:33,1512400200,0.4,42,1512400200-42,0,0
481,17/12/04 18:33,1512400500,0.8,42,1512400500-42,0,0
482,17/12/04 18:33,1512400800,0.2,42,1512400800-42,0,0
483,17/12/04 18:33,1512401400,0.2,42,1512401400-42,0,0
484,17/12/04 18:33,1512402600,0.2,44,1512402600-44,0,0
485,17/12/04 19:33,1512404700,0.4,1,1512404700-1,0,0
486,17/12/04 19:33,1512406500,0.2,1,1512406500-1,0,0
487,17/12/04 19:33,1512406800,0.2,1,1512406800-1,0,0
491,17/12/04 19:33,1512405900,0.2,2,1512405900-2,0,0
492,17/12/04 19:33,1512406800,0.2,2,1512406800-2,0,0
500,17/12/04 19:33,1512403800,0.2,3,1512403800-3,0,0
501,17/12/04 19:33,1512404700,0.2,3,1512404700-3,0,0
502,17/12/04 19:33,1512406800,0.2,3,1512406800-3,0,0
511,17/12/04 19:33,1512406500,0.2,6,1512406500-6,0,0
514,17/12/04 19:33,1512405000,0.2,8,1512405000-8,0,0
515,17/12/04 19:33,1512406200,0.2,8,1512406200-8,0,0
516,17/12/04 19:33,1512406800,0.2,8,1512406800-8,0,0
517,17/12/04 19:33,1512407400,0.2,8,1512407400-8,0,0
518,17/12/04 19:33,1512407700,0.2,8,1512407700-8,0,0
527,17/12/04 19:33,1512405600,0.2,9,1512405600-9,0,0
528,17/12/04 19:33,1512406800,0.2,9,1512406800-9,0,0
535,17/12/04 19:33,1512405300,0.2,12,1512405300-12,0,0
536,17/12/04 19:33,1512405300,0.2,13,1512405300-13,0,0
538,17/12/04 19:33,1512404100,0.2,14,1512404100-14,0,0
539,17/12/04 19:33,1512404700,0.2,14,1512404700-14,0,0
543,17/12/04 19:33,1512407400,0.6,15,1512407400-15,0,0
544,17/12/04 19:33,1512408000,0.2,15,1512408000-15,0,0
